Lagen, NN, 
som, KN, 
15-åring, NN, 
., MAD, 
Ännu, AB, 
är, VB, 
det, PN, 
inte, AB, 
känt, PC, 
varför, HA, 
pojken, NN, 
och, KN, 
kvinnan, NN, 
blev, VB, 
överfallna, PC, 
., MAD, 
Terroristernas, NN, 
bomber, NN, 
i, PP, 
Madrid, PM, 
dödade, VB, 
200, RG, 
människor, NN, 
och, KN, 
skadade, VB, 
över, PP, 
tusen, RG, 
., MAD, 
Tre, RG, 
filmer, NN, 
tävlade, VB, 
om, PP, 
många, PN, 
av, PP, 
guldbaggarna, NN, 
., MAD, 
Fartyget, NN, 
är, VB, 
mycket, AB, 
skadat, PC, 
., MAD, 
I, PP, 
dag, NN, 
firas, VB, 
Internationella, JJ, 
Kvinnodagen, NN, 
för, PP, 
tjugosjunde, RO, 
året, NN, 
i, PP, 
rad, NN, 
., MAD, 
Nästa, JJ, 
år, NN, 
kan, VB, 
det, PN, 
komma, VB, 
en, DT, 
lag, NN, 
som, HP, 
tvingar, VB, 
barn, NN, 
under, PP, 
15, RG, 
år, NN, 
att, IE, 
ha, VB, 
cykelhjälm, NN, 
., MAD, 
Räven, NN, 
jagas, VB, 
av, PP, 
hundarna, NN, 
i, PP, 
flera, JJ, 
timmar, NN, 
., MAD, 
På, PP, 
så, AB, 
sätt, NN, 
kan, VB, 
de, PN, 
skada, VB, 
sin, PS, 
värsta, JJ, 
fiende, NN, 
,, MID, 
USAs, PM, 
president, NN, 
George, PM, 
Bush, PM, 
., MAD, 
Elva, RG, 
stycken, NN, 
,, MID, 
bland, PP, 
annat, PN, 
för, PP, 
bästa, JJ, 
regi, NN, 
och, KN, 
bästa, JJ, 
film, NN, 
., MAD, 
Det, PN, 
är, VB, 
den, DT, 
bästa, JJ, 
tävlingen, NN, 
i, PP, 
super-G, PM, 
som, HP, 
Anja, PM, 
har, VB, 
åkt, VB, 
., MAD, 
Men, KN, 
domaren, NN, 
tycker, VB, 
att, SN, 
Zlatan, PM, 
knuffar, VB, 
målvakten, NN, 
och, KN, 
han, PN, 
dömer, VB, 
bort, PL, 
målet, NN, 
., MAD, 
Alldeles, AB, 
i, PP, 
slutet, NN, 
gjorde, VB, 
Serberna, NN, 
mål, NN, 
., MAD, 
Det, PN, 
är, VB, 
vid, PP, 
de, DT, 
kontoren, NN, 
irakier, NN, 
som, HP, 
vill, VB, 
arbeta, VB, 
som, KN, 
militärer, NN, 
anmäler, VB, 
sig, PN, 
., MAD, 
Per, PM, 
Fosshaug, PM, 
sköt, VB, 
ett, DT, 
stenhårt, JJ, 
skott, NN, 
som, HP, 
den, DT, 
ryske, JJ, 
målvakten, NN, 
inte, AB, 
hade, VB, 
en, DT, 
chans, NN, 
att, IE, 
rädda, VB, 
., MAD, 
Klubben, NN, 
bytte, VB, 
tränare, NN, 
på, PP, 
löpande, PC, 
band, NN, 
och, KN, 
spelarna, NN, 
som, HP, 
köptes, VB, 
var, VB, 
ofta, AB, 
dyra, JJ, 
och, KN, 
dåliga, JJ, 
., MAD, 
Hon, PN, 
har, VB, 
fått, VB, 
hjälp, NN, 
mot, PP, 
sjukdomen, NN, 
och, KN, 
kunnat, VB, 
fortsätta, VB, 
med, PP, 
sin, PS, 
idrott, NN, 
., MAD, 
Kriget, NN, 
har, VB, 
förstört, VB, 
mycket, AB, 
i, PP, 
Irak, PM, 
., MAD, 
Äldre, JJ, 
,, MID, 
sjuka, JJ, 
och, KN, 
fattiga, JJ, 
människor, NN, 
drabbades, VB, 
värst, AB, 
av, PP, 
hettan, NN, 
., MAD, 
Det, PN, 
blev, VB, 
också, AB, 
mycket, JJ, 
bråk, NN, 
på, PP, 
mötet, NN, 
., MAD, 
Sverige, PM, 
förlorade, VB, 
matchen, NN, 
om, PP, 
bronset, NN, 
mot, PP, 
Tyskland, PM, 
., MAD, 
Waterloo, PM, 
fick, VB, 
flest, JJ, 
röster, NN, 
före, PP, 
Herreys, PM, 
Diggi-loo-diggi-ley, NN, 
och, KN, 
Carolas, PM, 
Främling, NN, 
., MAD, 
Etthundra, RG, 
fångar, NN, 
i, PP, 
delstaterna, NN, 
Arizona, PM, 
,, MID, 
Montana, PM, 
och, KN, 
Idaho, PM, 
har, VB, 
dömts, VB, 
till, PP, 
döden, NN, 
utan, PP, 
att, SN, 
det, PN, 
fanns, VB, 
en, DT, 
jury, NN, 
., MAD, 
–, MID, 
Det, PN, 
har, VB, 
varit, VB, 
ovanligt, AB, 
många, JJ, 
och, KN, 
ovanligt, AB, 
starka, JJ, 
stormar, NN, 
i, PP, 
höst, NN, 
,, MID, 
säger, VB, 
väderexperten, NN, 
Anders, PM, 
Persson, PM, 
på, PP, 
SMHI, PM, 
till, PP, 
tidningen, NN, 
Aftonbladet, PM, 
., MAD, 
Det, PN, 
är, VB, 
väldigt, AB, 
liten, JJ, 
risk, NN, 
att, SN, 
Sverige, PM, 
hamnar, VB, 
i, PP, 
krig, NN, 
., MAD, 
El-bolagen, NN, 
ska, VB, 
tvingas, VB, 
betala, VB, 
böter, NN, 
och, KN, 
straffavgifter, NN, 
om, SN, 
elen, NN, 
försvinner, VB, 
., MAD, 
Mijailo, PM, 
Mijailovic, PM, 
har, VB, 
erkänt, VB, 
att, SN, 
han, PN, 
högg, VB, 
ihjäl, PL, 
Anna, PM, 
Lindh, PM, 
med, PP, 
kniv, NN, 
., MAD, 
Hälften, NN, 
av, PP, 
killarna, NN, 
i, PP, 
laget, NN, 
är, VB, 
palestinier, NN, 
och, KN, 
hälften, NN, 
israeler, NN, 
., MAD, 
Shirin, PM, 
Ebadi, PM, 
är, VB, 
advokat, NN, 
och, KN, 
kommer, VB, 
från, PP, 
landet, NN, 
Iran, PM, 
., MAD, 
Mathias, PM, 
Fredriksson, PM, 
var, VB, 
bäste, JJ, 
svensk, JJ, 
med, PP, 
en, DT, 
åttondeplats, NN, 
., MAD, 
Nu, AB, 
kanske, AB, 
han, PN, 
äntligen, AB, 
får, VB, 
boxas, VB, 
i, PP, 
Globen, NN, 
i, PP, 
Stockholm, PM, 
., MAD, 
Därför, AB, 
krockade, VB, 
två, RG, 
flygplan, NN, 
., MAD, 
Det, PN, 
skulle, VB, 
kunna, VB, 
ställa, VB, 
till, PL, 
stora, JJ, 
problem, NN, 
för, PP, 
vänsterpartiet, NN, 
., MAD, 
Det, PN, 
var, VB, 
fler, JJ, 
än, KN, 
sexhundra, RG, 
personer, NN, 
med, PP, 
på, PP, 
färjan, NN, 
., MAD, 
Ledarna, NN, 
för, PP, 
Sveriges, PM, 
friidrottare, NN, 
hoppas, VB, 
på, PP, 
fyra, RG, 
svenska, JJ, 
medaljer, NN, 
., MAD, 
–, PP, 
Djurgården, PM, 
spelar, VB, 
en, DT, 
fotboll, NN, 
som, HP, 
jag, PN, 
gillar, VB, 
., MAD, 
Många, PN, 
av, PP, 
soldaterna, NN, 
kommer, VB, 
från, PP, 
Frankrike, PM, 
., MAD, 
Irakiska, JJ, 
grupper, NN, 
med, PP, 
vapen, NN, 
anfaller, VB, 
amerikanska, JJ, 
och, KN, 
brittiska, JJ, 
soldater, NN, 
., MAD, 
Idag, AB, 
finns, VB, 
fler, JJ, 
än, KN, 
hundra, RG, 
vargar, NN, 
., MAD, 
I, PP, 
den, DT, 
andra, JJ, 
semifinalen, NN, 
blev, VB, 
det, PN, 
seger, NN, 
för, PP, 
Färjestad, PM, 
., MAD, 
Det, PN, 
här, AB, 
är, VB, 
omöjligt, JJ, 
att, IE, 
göra, VB, 
om, PP, 
,, MID, 
säger, VB, 
den, DT, 
svenske, JJ, 
guldgossen, NN, 
., MAD, 
Damernas, NN, 
lag, NN, 
vann, VB, 
silver, NN, 
i, PP, 
medley, NN, 
och, KN, 
två, RG, 
brons, NN, 
i, PP, 
frisim, NN, 
., MAD, 
I, PP, 
Oslo, PM, 
i, PP, 
Norge, PM, 
delas, VB, 
Nobels, PM, 
fredspris, NN, 
ut, AB, 
., MAD, 
Men, KN, 
där, AB, 
blev, VB, 
det, PN, 
stopp, NN, 
., MAD, 
Nu, AB, 
när, HA, 
folket, NN, 
har, VB, 
röstat, VB, 
fram, PL, 
sina, PS, 
egna, JJ, 
politiker, NN, 
kan, VB, 
de, DT, 
utländska, JJ, 
soldaterna, NN, 
lämna, VB, 
landet, NN, 
., MAD, 
Hon, PN, 
var, VB, 
mycket, AB, 
glad, JJ, 
över, PP, 
segern, NN, 
., MAD, 
Cypern, PM, 
fortsätter, VB, 
att, IE, 
vara, VB, 
ett, DT, 
delat, PC, 
land, NN, 
., MAD, 
I, PP, 
dag, NN, 
hålls, VB, 
en, DT, 
minnesstund, NN, 
i, PP, 
Rosengård, PM, 
., MAD, 
I, PP, 
ett, DT, 
krig, NN, 
är, VB, 
det, PN, 
inte, AB, 
ovanligt, JJ, 
att, SN, 
soldater, NN, 
blir, VB, 
fångar, NN, 
., MAD, 
Ulf, PM, 
Olsson, PM, 
är, VB, 
också, AB, 
misstänkt, PC, 
för, PP, 
mordet, NN, 
på, PP, 
26-åriga, JJ, 
Jannika, PM, 
Ekblad, PM, 
., MAD, 
Flera, JJ, 
kända, PC, 
vänsterpartister, NN, 
har, VB, 
hoppat, VB, 
av, PL, 
., MAD, 
Fortfarande, AB, 
letar, VB, 
polisen, NN, 
efter, PP, 
terroristerna, NN, 
som, HP, 
sprängde, VB, 
bomber, NN, 
i, PP, 
Madrid, PM, 
., MAD, 
Landslaget, NN, 
Tre, RG, 
Kronor, NN, 
tog, VB, 
en, DT, 
silvermedalj, NN, 
i, PP, 
världsmästerskapen, NN, 
., MAD, 
Flera, JJ, 
bomber, NN, 
exploderade, VB, 
utanför, PP, 
polis-stationer, NN, 
i, PP, 
städerna, NN, 
Ramadi, PM, 
och, KN, 
Baquba, PM, 
., MAD, 
Men, KN, 
laget, NN, 
har, VB, 
fortfarande, AB, 
chansen, NN, 
att, IE, 
ta, VB, 
brons, NN, 
i, PP, 
EM., PM, 
På, PP, 
tisdag, NN, 
möter, VB, 
Sverige, PM, 
Portugal, PM, 
., MAD, 
TV-bilderna, NN, 
visar, VB, 
hur, HA, 
bomberna, NN, 
slår, VB, 
ner, PL, 
och, KN, 
exploderar, VB, 
i, PP, 
enorma, JJ, 
eldsken, NN, 
., MAD, 
I, PP, 
Malmö, PM, 
gick, VB, 
den, PN, 
upp, PL, 
först, AB, 
klockan, NN, 
halv, JJ, 
fem, RG, 
och, KN, 
ned, AB, 
strax, AB, 
före, PP, 
tio, RG, 
., MAD, 
Det, PN, 
här, AB, 
är, VB, 
kronprins, NN, 
Frederiks, PM, 
och, KN, 
Marys, PM, 
första, RO, 
barn, NN, 
., MAD, 
Gruppen, NN, 
samarbetar, VB, 
med, PP, 
både, KN, 
Usama, PM, 
bin, PM, 
Ladin, PM, 
och, KN, 
terror-gruppen, NN, 
al-Qaida, PM, 
,, MID, 
tror, VB, 
experterna, NN, 
., MAD, 
Jernbane-sviten, NN, 
är, VB, 
namnet, NN, 
på, PP, 
en, DT, 
sådan, JJ, 
serie, NN, 
med, PP, 
böcker, NN, 
som, HP, 
Sara, PM, 
Lidman, PM, 
skrev, VB, 
., MAD, 
Sveriges, PM, 
damlandslag, NN, 
i, PP, 
ishockey, NN, 
förlorade, VB, 
på, PP, 
onsdagen, NN, 
en, DT, 
match, NN, 
i, PP, 
Skara, PM, 
., MAD, 
Aids, PM, 
är, VB, 
den, DT, 
värsta, JJ, 
sjukdom, NN, 
som, HP, 
drabbat, VB, 
människan, NN, 
., MAD, 
Och, KN, 
båda, PN, 
lovade, VB, 
saker, NN, 
de, PN, 
tidigare, AB, 
aldrig, AB, 
sagt, VB, 
., MAD, 
Han, PN, 
hade, VB, 
missat, VB, 
två, RG, 
hopp, NN, 
på, PP, 
2.34, RG, 
och, KN, 
var, VB, 
nära, AB, 
att, IE, 
bli, VB, 
helt, AB, 
utan, PP, 
medalj, NN, 
., MAD, 
Visby, PM, 
,, MID, 
Karlstad, PM, 
,, MID, 
Norrköping, PM, 
,, MID, 
Stockholm, PM, 
och, KN, 
Göteborg, PM, 
har, VB, 
fått, VB, 
ovanligt, AB, 
lite, AB, 
sol, NN, 
., MAD, 
Soldaterna, NN, 
ska, VB, 
flyttas, VB, 
närmare, AB, 
gränsen, NN, 
till, PP, 
Syrien, PM, 
., MAD, 
Hon, PN, 
sade, VB, 
att, SN, 
hennes, PS, 
kompis, NN, 
hade, VB, 
ringt, VB, 
henne, PN, 
och, KN, 
ropat, VB, 
att, SN, 
hon, PN, 
höll, VB, 
på, PL, 
att, IE, 
bli, VB, 
våldtagen, PC, 
., MAD, 
Den, DT, 
första, RO, 
maj, NN, 
i, PP, 
år, NN, 
sade, VB, 
USA, PM, 
att, SN, 
kriget, NN, 
i, PP, 
Irak, PM, 
var, VB, 
slut, JJ, 
., MAD, 
Team, PM, 
Eslöv, PM, 
är, VB, 
svenska, JJ, 
mästare, NN, 
i, PP, 
handboll, NN, 
för, PP, 
damer, NN, 
., MAD, 
Folket, NN, 
hoppas, VB, 
att, SN, 
den, DT, 
nya, JJ, 
presidenten, NN, 
ska, VB, 
kunna, VB, 
skaffa, VB, 
flera, JJ, 
jobb, NN, 
och, KN, 
göra, VB, 
landet, NN, 
säkrare, JJ, 
., MAD, 
Umeå, PM, 
hade, VB, 
kunnat, VB, 
göra, VB, 
flera, JJ, 
mål, NN, 
., MAD, 
I, PP, 
Colombia, PM, 
finns, VB, 
gerilla-soldater, NN, 
som, HP, 
krigar, VB, 
mot, PP, 
regeringen, NN, 
., MAD, 
Tusentals, AB, 
idrottare, NN, 
från, PP, 
hela, JJ, 
världen, NN, 
ska, VB, 
kämpa, VB, 
om, PP, 
medaljerna, NN, 
., MAD, 
Sedan, AB, 
lyckades, VB, 
han, PN, 
fly, VB, 
från, PP, 
rymlingarna, NN, 
., MAD, 
Nu, AB, 
har, VB, 
de, DT, 
svenska, JJ, 
herrarna, NN, 
en, DT, 
ny, JJ, 
ledare, NN, 
,, MID, 
Ingemar, PM, 
Linnéll, PM, 
., MAD, 
Under, PP, 
hela, JJ, 
dagen, NN, 
och, KN, 
natten, NN, 
arbetade, VB, 
poliser, NN, 
och, KN, 
brandmän, NN, 
med, PP, 
att, IE, 
rädda, VB, 
folk, NN, 
ur, PP, 
hissar, NN, 
och, KN, 
tunnelbanor, NN, 
., MAD, 
Passagerare, NN, 
kastas, VB, 
ur, PP, 
tåget, NN, 
eller, KN, 
kläms, VB, 
fast, PL, 
mellan, PP, 
säten, NN, 
., MAD, 
Över, PP, 
en, DT, 
miljon, NN, 
personer, NN, 
röstade, VB, 
i, PP, 
år, NN, 
,, MID, 
så, AB, 
många, PN, 
har, VB, 
aldrig, AB, 
röstat, VB, 
förut, AB, 
., MAD, 
På, PP, 
torsdagen, NN, 
valdes, VB, 
han, PN, 
av, PP, 
Iraks, PM, 
nya, JJ, 
riksdag, NN, 
., MAD, 
Sverige, PM, 
måste, VB, 
nog, AB, 
vinna, VB, 
matchen, NN, 
mot, PP, 
Kroatien, PM, 
för, PP, 
att, IE, 
gå, VB, 
vidare, AB, 
i, PP, 
VM, PM, 
., MAD, 
Och, KN, 
det, PN, 
blir, VB, 
svårt, JJ, 
., MAD, 
Två, RG, 
personer, NN, 
i, PP, 
hotellet, NN, 
dog, VB, 
., MAD, 
Troligen, AB, 
kommer, VB, 
det, PN, 
ännu, AB, 
fler, JJ, 
små, JJ, 
jordbävningar, NN, 
i, PP, 
Algeriet, PM, 
de, DT, 
närmaste, JJ, 
veckorna, NN, 
., MAD, 
Det, DT, 
lag, NN, 
som, HP, 
först, AB, 
vinner, VB, 
fyra, RG, 
matcher, NN, 
blir, VB, 
svenska, JJ, 
mästare, NN, 
., MAD, 
Nu, AB, 
är, VB, 
EU-ländernas, NN, 
ledare, NN, 
överens, PL, 
., MAD, 
Det, PN, 
kallas, VB, 
för, PP, 
hatbrott, NN, 
., MAD, 
Jemaah, PM, 
Islamiya, PM, 
sprängde, VB, 
en, DT, 
bomb, NN, 
på, PP, 
ön, NN, 
Bali, PM, 
förra, JJ, 
året, NN, 
., MAD, 
Många, PN, 
är, VB, 
oroliga, JJ, 
för, PP, 
en, DT, 
stor, JJ, 
katastrof, NN, 
., MAD, 
Granaten, NN, 
träffade, VB, 
bara, AB, 
några, DT, 
meter, NN, 
från, PP, 
platsen, NN, 
där, HA, 
Ali, PM, 
sov, VB, 
., MAD, 
VM-tävlingarna, NN, 
spelas, VB, 
i, PP, 
Gävle, PM, 
., MAD, 
Bråket, NN, 
mellan, PP, 
Nordkorea, PM, 
och, KN, 
USA, PM, 
är, VB, 
krångligt, JJ, 
., MAD, 
–, MID, 
Vi, PN, 
hoppas, VB, 
att, SN, 
vi, PN, 
ska, VB, 
få, VB, 
fler, JJ, 
vuxna, JJ, 
i, PP, 
området, NN, 
att, IE, 
säga, VB, 
ifrån, PP, 
att, SN, 
nu, AB, 
är, VB, 
det, PN, 
nog, AB, 
., MAD, 
Ryoji, PM, 
Arai, PM, 
från, PP, 
Japan, PM, 
får, VB, 
priset, NN, 
för, PP, 
sina, PS, 
bilder, NN, 
och, KN, 
illustrationer, NN, 
i, PP, 
barnböcker, NN, 
., MAD, 
Vapenexperterna, NN, 
har, VB, 
gjort, VB, 
ett, DT, 
bra, JJ, 
arbete, NN, 
i, PP, 
Irak, PM, 
., MAD, 
Fler, JJ, 
företag, NN, 
än, KN, 
tidigare, AB, 
arbetar, VB, 
med, PP, 
telefoner, NN, 
och, KN, 
telefonnät, NN, 
., MAD, 
För, PP, 
femton, RG, 
år, NN, 
sedan, AB, 
tvingades, VB, 
den, DT, 
kommunistiske, JJ, 
ledaren, NN, 
Nicolae, PM, 
Ceausescu, PM, 
att, IE, 
avgå, VB, 
., MAD, 
Bomber, NN, 
fortsätter, VB, 
att, IE, 
explodera, VB, 
vid, PP, 
byggnader, NN, 
i, PP, 
Iraks, PM, 
huvudstad, NN, 
Bagdad, PM, 
., MAD, 
I, PP, 
dag, NN, 
berättade, VB, 
65-årige, JJ, 
Alf, PM, 
Svensson, PM, 
att, SN, 
han, PN, 
slutar, VB, 
., MAD, 
Nu, AB, 
är, VB, 
den, PN, 
här, AB, 
., MAD, 
Maria, PM, 
Mutola, PM, 
från, PP, 
Mocambique, PM, 
visade, VB, 
än, AB, 
en, DT, 
gång, NN, 
att, SN, 
hon, PN, 
är, VB, 
bäst, JJ, 
i, PP, 
världen, NN, 
på, PP, 
800, RG, 
meter, NN, 
., MAD, 
I, PP, 
år, NN, 
handlar, VB, 
budgeten, NN, 
mest, AB, 
om, PP, 
hur, HA, 
fler, PN, 
i, PP, 
Sverige, PM, 
ska, VB, 
få, VB, 
jobb, NN, 
., MAD, 
Det, PN, 
är, VB, 
alla, DT, 
partier, NN, 
överens, AB, 
om, PP, 
., MAD, 
På, PP, 
flera, JJ, 
platser, NN, 
har, VB, 
lågorna, NN, 
varit, VB, 
över, AB, 
tjugo, RG, 
meter, NN, 
höga, JJ, 
., MAD, 
De, DT, 
olympiska, JJ, 
spelen, NN, 
har, VB, 
börjat, VB, 
., MAD, 
25-23, RG, 
stod, VB, 
det, PN, 
., MAD, 
I, PP, 
Lidköping, PM, 
har, VB, 
nio, RG, 
människor, NN, 
fått, VB, 
legionärs-sjukan, NN, 
., MAD, 
Zoran, PM, 
Djindjic, PM, 
har, VB, 
försökt, VB, 
att, IE, 
stoppa, VB, 
ligorna, NN, 
., MAD, 
Då, AB, 
samarbetade, VB, 
han, PN, 
med, PP, 
de, DT, 
ryska, JJ, 
ledarna, NN, 
., MAD, 
Ett, PN, 
av, PP, 
de, DT, 
största, JJ, 
bråken, NN, 
handlar, VB, 
om, PP, 
vilket, HD, 
land, NN, 
som, HP, 
ska, VB, 
ha, VB, 
makten, NN, 
över, PP, 
området, NN, 
Kashmir, PM, 
., MAD, 
De, PN, 
har, VB, 
haft, VB, 
stora, JJ, 
framgångar, NN, 
., MAD, 
Demokraterna, NN, 
verkar, VB, 
tycka, VB, 
att, SN, 
han, PN, 
är, VB, 
den, PN, 
som, HP, 
har, VB, 
störst, JJ, 
chans, NN, 
att, IE, 
besegra, VB, 
George, PM, 
Bush, PM, 
i, PP, 
ett, DT, 
val, NN, 
., MAD, 
Ett, DT, 
nytt, JJ, 
virus, NN, 
sprider, VB, 
sig, PN, 
i, PP, 
sydöstra, JJ, 
Asien, PM, 
., MAD, 
Statsminister, NN, 
Göran, PM, 
Persson, PM, 
säger, VB, 
att, SN, 
det, PN, 
inte, AB, 
blir, VB, 
någon, DT, 
omröstning, NN, 
om, PP, 
förslaget, NN, 
i, PP, 
Sveriges, PM, 
riksdag, NN, 
i, PP, 
höst, NN, 
., MAD, 
De, DT, 
flesta, JJ, 
av, PP, 
de, DT, 
utländska, JJ, 
soldaterna, NN, 
är, VB, 
amerikaner, NN, 
., MAD, 
Palestiniernas, NN, 
president, NN, 
Yassir, PM, 
Arafat, PM, 
ligger, VB, 
på, PP, 
sjukhus, NN, 
i, PP, 
Frankrike, PM, 
., MAD, 
Hans, PS, 
motståndare, NN, 
i, PP, 
valet, NN, 
,, MID, 
John, PM, 
Kerry, PM, 
,, MID, 
säger, VB, 
att, SN, 
Bush, PM, 
har, VB, 
använt, VB, 
pengarna, NN, 
fel, PL, 
., MAD, 
Lagen, NN, 
kan, VB, 
straffa, VB, 
människor, NN, 
som, HP, 
planerar, VB, 
brott, NN, 
eller, KN, 
hjälper, VB, 
andra, PN, 
att, IE, 
göra, VB, 
terrorbrott, NN, 
., MAD, 
Det, PN, 
var, VB, 
ingen, DT, 
hård, JJ, 
vind, NN, 
när, HA, 
olyckan, NN, 
hände, VB, 
., MAD, 
Men, KN, 
i, PP, 
Sydkorea, PM, 
var, VB, 
folk, NN, 
besvikna, JJ, 
., MAD, 
I, PP, 
går, AB, 
,, MID, 
torsdag, NN, 
drog, VB, 
stormen, NN, 
in, PL, 
över, PP, 
södra, JJ, 
USA, PM, 
., MAD, 
Tre, RG, 
Kronor, NN, 
förlorade, VB, 
stort, AB, 
mot, PP, 
USA, PM, 
., MAD, 
Hambali, PM, 
är, VB, 
misstänkt, PC, 
för, PP, 
att, IE, 
ha, VB, 
varit, VB, 
med, PL, 
om, PP, 
flera, JJ, 
terrorbombningar, NN, 
., MAD, 
Ett, DT, 
litet, JJ, 
flygplan, NN, 
flög, VB, 
på, PP, 
onsdagen, NN, 
över, PP, 
Washington, PM, 
i, PP, 
USA, PM, 
., MAD, 
Iraks, PM, 
ledare, NN, 
gav, VB, 
upp, PL, 
redan, AB, 
i, PP, 
onsdags, NN, 
., MAD, 
Det, PN, 
är, VB, 
kanske, AB, 
inte, AB, 
så, AB, 
konstigt, JJ, 
., MAD, 
Ormen, NN, 
är, VB, 
en, DT, 
monokelkobra, NN, 
., MAD, 
Kustbevakningen, NN, 
arbetar, VB, 
för, PP, 
att, IE, 
hindra, VB, 
att, SN, 
oljan, NN, 
sprider, VB, 
sig, PN, 
., MAD, 
Färjan, NN, 
hade, VB, 
haft, VB, 
problem, NN, 
med, PP, 
propellrarna, NN, 
., MAD, 
De, PN, 
har, VB, 
varit, VB, 
på, PP, 
resa, NN, 
i, PP, 
Thailand, PM, 
,, MID, 
Sri, PM, 
Lanka, PM, 
,, MID, 
Indonesien, PM, 
,, MID, 
Malaysia, PM, 
eller, KN, 
Burma, PM, 
., MAD, 
Per, PM, 
Elofsson, PM, 
kom, VB, 
egentligen, AB, 
fyra, RG, 
i, PP, 
tävlingen, NN, 
., MAD, 
I, PP, 
elitserie-laget, NN, 
Plannja, PM, 
har, VB, 
spelarna, NN, 
blivit, VB, 
underökta, PC, 
av, PP, 
läkare, NN, 
., MAD, 
Där, AB, 
ska, VB, 
de, PN, 
berätta, VB, 
vad, HP, 
de, PN, 
hittat, VB, 
., MAD, 
Många, PN, 
tror, VB, 
att, SN, 
folk, NN, 
från, PP, 
de, DT, 
nya, JJ, 
EU-länderna, NN, 
ska, VB, 
flytta, VB, 
och, KN, 
ta, VB, 
jobb, NN, 
i, PP, 
något, DT, 
annat, JJ, 
land, NN, 
., MAD, 
Peter, PM, 
Karlsson, PM, 
kom, VB, 
längst, AB, 
av, PP, 
svenskarna, NN, 
., MAD, 
Förra, JJ, 
gången, NN, 
,, MID, 
för, PP, 
fyra, RG, 
år, NN, 
sedan, AB, 
i, PP, 
Sydney, PM, 
,, MID, 
tog, VB, 
Sverige, PM, 
21, RG, 
medaljer, NN, 
., MAD, 
Engelska, JJ, 
Liverpool, PM, 
vann, VB, 
finalen, NN, 
över, PP, 
italienska, JJ, 
Milan, PM, 
., MAD, 
Seger, NN, 
med, PP, 
sju, RG, 
mål, NN, 
är, VB, 
klart, AB, 
godkänt, PC, 
., MAD, 
Därför, AB, 
överklagade, VB, 
han, PN, 
domen, NN, 
för, PP, 
att, IE, 
få, VB, 
en, DT, 
ny, JJ, 
rättegång, NN, 
i, PP, 
Högsta, JJ, 
domen, NN, 
., MAD, 
I, PP, 
måndags, NN, 
dödades, VB, 
en, DT, 
hög, JJ, 
polischef, NN, 
i, PP, 
Bagdad, PM, 
av, PP, 
en, DT, 
grupp, NN, 
män, NN, 
med, PP, 
vapen, NN, 
., MAD, 
Tre, RG, 
amerikanska, JJ, 
och, KN, 
en, DT, 
dansk, JJ, 
journalist, NN, 
försvann, VB, 
utan, PP, 
att, SN, 
någon, PN, 
visste, VB, 
var, HA, 
de, DT, 
var.Många, PM, 
var, VB, 
rädda, JJ, 
att, SN, 
de, PN, 
hade, VB, 
blivit, VB, 
dödade, PC, 
., MAD, 
Hizbollah, PM, 
är, VB, 
stränga, JJ, 
muslimer, NN, 
som, HP, 
i, PP, 
många, JJ, 
år, NN, 
har, VB, 
krigat, VB, 
mot, PP, 
Israel, PM, 
., MAD, 
Men, KN, 
ingen, PN, 
vet, VB, 
ännu, AB, 
exakt, AB, 
hur, HA, 
mannen, NN, 
dog, VB, 
., MAD, 
Det, PN, 
är, VB, 
samma, DT, 
sak, NN, 
för, PP, 
bisexuella, JJ, 
människor, NN, 
och, KN, 
transpersoner, NN, 
., MAD, 
De, PN, 
tror, VB, 
att, SN, 
det, PN, 
skulle, VB, 
få, VB, 
fler, JJ, 
intresserade, PC, 
av, PP, 
valet, NN, 
., MAD, 
Carolina, PM, 
Klüft, PM, 
vann, VB, 
i, PP, 
sjukamp, NN, 
,, MID, 
Stefan, PM, 
Holm, PM, 
i, PP, 
höjd, NN, 
och, KN, 
Christian, PM, 
Olsson, PM, 
i, PP, 
tresteg, NN, 
., MAD, 
Men, KN, 
många, JJ, 
människor, NN, 
hoppas, VB, 
att, SN, 
det, PN, 
här, AB, 
kan, VB, 
vara, VB, 
början, NN, 
till, PP, 
fred, NN, 
mellan, PP, 
Israel, PM, 
och, KN, 
palestinierna, NN, 
., MAD, 
Men, KN, 
det, PN, 
kommer, VB, 
att, IE, 
ta, VB, 
tid, NN, 
att, IE, 
få, VB, 
fred, NN, 
., MAD, 
På, PP, 
filmen, NN, 
ser, VB, 
man, PN, 
hur, HA, 
den, DT, 
amerikanske, JJ, 
soldaten, NN, 
tar, VB, 
sitt, PS, 
vapen, NN, 
och, KN, 
skjuter, VB, 
irakiern, NN, 
i, PP, 
huvudet, NN, 
., MAD, 
På, PP, 
onsdagen, NN, 
tog, VB, 
hon, PN, 
medalj, NN, 
igen, AB, 
i, PP, 
världscupen, NN, 
., MAD, 
Ännu, AB, 
vet, VB, 
ingen, DT, 
exakt, AB, 
hur, HA, 
många, JJ, 
människor, NN, 
som, HP, 
dog, VB, 
i, PP, 
jordbävningen, NN, 
., MAD, 
Laget, NN, 
möter, VB, 
guld-favoriterna, NN, 
USA, PM, 
i, PP, 
den, DT, 
första, RO, 
matchen, NN, 
., MAD, 
–, MID, 
Det, PN, 
är, VB, 
det, DT, 
finaste, JJ, 
priset, NN, 
av, PP, 
